state,county,tract,DP05_0024PE,DP05_0018E,DP03_0066PE,DP02_0061PE,DP03_0009PE,DP03_0033PE,DP03_0028PE,DP05_0070PE,DP04_0076E,DP05_0003PE,DP03_0010PE,DP03_0099PE,DP04_0047PE,DP04_0134E,DP04_0014PE,DP04_0003PE,DP03_0119PE,DP03_0061PE,DP03_0088E,DP02_0115PE,DP04_0058PE,DP05_0044PE,DP05_0038PE,DP05_0039PE,DP03_0062E
48.0,339.0,693202.0,0.9811744361510514,0.5712587394250126,1.279593937172042,-0.7874969453423226,-0.4925619141431241,0.642604054728395,-0.5325881931428973,-0.7106223961843693,0.5269213660666894,0.33020042278609896,0.5672149485557657,-0.5944821777588323,-1.280382241299501,-0.8402070591023587,-0.4468238315146189,-0.5501206222277352,-0.611677743777154,-0.5893448896506603,-0.021521888142536975,-0.7224564509508282,-0.4372796107405498,0.10138173227350226,-0.6525415058199259,-0.5075128075813953,-1.0153152062759974
48.0,339.0,693301.0,0.33403231417188234,-0.14268340102229649,0.691428901001679,-0.6261589796563103,0.838731426582237,0.496945797696393,-0.7033414691659258,-0.5352440843709163,-0.5188601304777377,1.3440794464028758,0.004885744953434716,0.1758418981281234,-0.49522999384284,-0.8245753167768101,-0.5984459892336521,-0.9295092247324113,-0.9942395951675498,-0.4279109583661036,-0.021065495909343014,-0.7456769220046126,-0.5932340749709468,0.10138173227350226,-0.4498605230991757,-0.5075128075813953,-0.8064421168762357
48.0,339.0,693302.0,-0.4273113587447875,-1.1395082763638213,-1.1629247547021055,0.30960122132256124,-0.5159179376646217,-0.21053716503047357,0.924506428920279,-0.44129141732799515,-1.0517424217105669,-0.9860635727865577,-1.2019775670151274,2.088058133565155,0.8718117365004838,0.48849103856927284,1.6674629233452332,-0.8260396058674996,2.7767272256806375,0.8716321884745786,-0.02017273954786798,0.7636536964913768,0.5920198531800707,0.10138173227350226,-0.3517890798471998,1.382164006736073,0.901100352680918
48.0,339.0,693303.0,0.41016668146354907,-0.7758019029284001,-0.5665907596960429,-0.0130747100494634,-1.029750455137568,-0.58508696882705,-0.3846020205896061,-0.3974468393746319,0.04333068677289698,0.22347631503696438,-0.03204689341875228,-0.07791191510522649,1.40986023095048,-0.04885010387146052,-0.5984459892336521,-1.0099855949606757,-1.076217134751206,0.16939458738675667,-0.02091253663554529,-0.7301966079687562,-0.2501342536640734,0.10138173227350226,-0.30602240632961103,-0.5075128075813953,0.49288450495666897
48.0,339.0,693304.0,0.05487296743576994,-1.00480221212848,-0.1826496944181668,-0.7068279624993165,-0.5859860082291145,-0.5226620015276207,1.186328118822256,0.8990999658176813,-0.8625692083229125,0.5258612869928455,-0.864818319940001,-1.2469919832160186,-0.7343626580428383,0.24424506473257585,-0.5984459892336521,-0.9754957220057054,-1.076217134751206,-1.2835107941742543,-0.021413334857913652,-0.7224564509508282,0.8259515495256662,0.10138173227350226,1.0473635105476562,-0.5075128075813953,-0.7167974401994368
48.0,339.0,693401.0,-0.17353013443923088,-0.7353900836577977,0.5117118066162899,0.7290799321061933,-0.3757817965356363,0.2888625733649617,2.5978885339459583,0.7988837876385652,-1.1036984451057676,-1.0394256266611244,-1.20555169330921,0.6108484350995809,1.2424673660104812,0.6018211704295002,0.6734954449649043,0.9559371634726455,1.2009367425725785,0.8393454022176672,-0.020031204419832024,1.2512835886208502,2.011205477676684,0.10138173227350226,0.7335348921413333,1.4609005406659674,1.058201903999893
48.0,339.0,693402.0,-1.7089065414878484,-1.2742143405991626,-1.9063000087507593,1.003354473772414,-0.3991378200571339,-0.58508696882705,1.6189030847472616,-0.4350279061918004,-1.2315901950016466,1.8776999851485474,-1.1150071605257839,1.0458549720710384,2.497913853060472,0.3282656797323996,-0.3036251270021986,0.1971599584632934,1.410434899286367,0.8716321884745786,-0.01996251614594223,1.5531497123200486,-0.21894336081799393,0.10138173227350226,-0.34525098363040146,-0.5075128075813953,0.7459346498616084
48.0,339.0,693501.0,0.9304181912899403,0.6116705586956146,-0.28067720044656064,0.4225377973027698,-1.2399546668310462,-0.58508696882705,0.19595911788869094,-0.1656969273354262,-1.2275935778174003,-0.4702303853324086,-1.2722687174654188,-0.05978664273141583,1.166742022347148,0.5041227808948214,-0.5984459892336521,0.5995418096046164,-0.2746589699332338,0.20168137364366792,-0.021059712136802536,-0.6837556658611875,-0.15656157512583507,0.10138173227350226,-0.0641128463080706,0.043642929927866246,0.6402075394952842
48.0,339.0,693502.0,-0.33848793023784274,-0.2773894652576377,-0.15814281791106827,-0.19054647230407706,-0.8429022669655876,2.973136167240426,1.1749445670873875,-0.3974468393746319,-1.1036984451057676,-0.3279315750002287,-0.9625111053115923,0.284593532370988,-0.3079094068861745,-0.031264393755218334,0.8756583219236154,-0.745563235639235,-1.076217134751206,-0.02432613015471149,-0.020713689579608244,0.3766458455949693,-0.5464477357018277,0.10138173227350226,-0.30602240632961103,-0.5075128075813953,-0.07950618668148511
48.0,339.0,693503.0,-0.8333613176336782,-1.2203319149050262,-0.8279974424384265,1.0194882703410155,-0.46920589062162665,1.6205952090861222,1.5733688778077872,-0.45381843960038465,-0.542839833583215,-1.2528738421593935,-0.9601283544488707,1.1546066063139027,1.2185540995904816,0.42010216589499766,-0.3541658462418764,-0.5156307492727646,-0.347527894007595,0.8716321884745786,-0.020435208101750264,0.670771812276239,-0.8895475570087011,0.10138173227350226,-0.3844795609311918,-0.5075128075813953,0.5619297681113906
48.0,339.0,693600.0,0.3720994978177159,-0.9509197864343438,-0.03560843537557591,0.30960122132256124,-0.4925619141431241,-0.0024539406990422884,1.209095222291993,-0.05295372688392068,0.9545594047810347,0.4902865844098002,0.5159858050072483,0.5836605265388647,1.672906161570478,0.26964664601159233,-0.5984459892336521,-0.7800531085942055,-0.5297002041934977,0.7101982571900218,-0.02063472435451017,0.1908820771646936,1.6369147635237307,0.10138173227350226,0.0535728855943005,0.9097448031567058,0.7205948893724026
