DP05_0024PE,DP05_0018E,DP03_0066PE,DP02_0061PE,DP03_0009PE,DP03_0033PE,DP03_0028PE,DP05_0070PE,DP04_0076E,DP05_0003PE,DP03_0010PE,DP03_0099PE,DP04_0047PE,DP04_0134E,DP04_0014PE,DP04_0003PE,DP03_0119PE,DP03_0061PE,DP03_0088E,DP02_0115PE,DP04_0058PE,DP05_0044PE,DP05_0038PE,DP05_0039PE,DP03_0062E,state,county,tract
18.9,30.7,30.5,2.1,9.6,3.3,11.7,21.6,1926,53.1,1850,14.8,59.0,1123,5.1,12.1,1.2,8.3,39845,3.6,3.5,0.0,17.3,0.0,53500,48,005,000902
19.3,41.4,30.1,4.5,4.5,0.0,21.8,24.5,1267,51.7,1213,12.5,45.1,984,2.2,11.8,4.8,8.8,37065,1.4,4.1,0.0,22.6,0.0,72107,48,005,000903
15.6,33.9,29.1,3.1,7.0,2.5,15.4,8.0,1172,56.1,1282,17.7,25.3,982,0.0,11.3,7.5,13.6,34798,7.8,12.8,0.0,3.7,6.9,71576,48,005,000904
19.0,42.4,40.0,14.0,3.3,1.8,22.1,18.5,1403,45.1,1860,22.1,23.8,560,12.6,11.9,14.7,6.9,22713,10.6,13.0,0.0,17.9,0.5,52135,48,005,001001
16.6,42.7,31.7,6.6,1.8,0.0,21.6,11.7,1585,54.3,1775,20.3,18.2,1059,28.7,8.2,12.3,2.8,32178,16.9,0.9,0.0,11.3,0.0,71493,48,005,001002
25.4,36.8,50.4,7.5,1.7,5.7,26.8,2.3,1408,49.5,1422,21.1,19.0,1047,16.1,6.5,5.1,7.0,30159,4.8,1.8,0.0,1.0,0.0,67422,48,005,001101
28.4,53.4,50.1,7.6,1.9,4.7,13.6,4.2,1259,51.9,1404,17.1,19.9,842,27.9,11.6,4.5,4.2,28843,3.4,12.1,0.0,1.7,2.8,60917,48,005,001102
25.8,49.8,52.2,18.1,9.8,6.6,12.4,0.8,1082,50.8,1022,19.1,11.1,669,39.5,43.6,12.4,4.2,26247,0.3,5.5,0.0,0.6,0.0,44044,48,005,001200
18.1,42.3,39.4,6.1,2.9,5.2,13.8,2.4,2173,48.6,2114,17.4,35.5,1054,27.3,19.3,10.0,0.0,26438,0.4,2.4,0.0,0.4,0.0,59682,48,005,001300
33.2,52.7,46.1,2.5,4.2,0.4,0.0,0.0,866,55.7,753,6.5,15.5,984,4.6,27.3,15.0,5.7,44437,2.9,0.0,0.0,0.0,2.1,73409,48,007,950101
49.2,64.6,64.8,2.2,1.3,1.0,34.4,5.3,1613,57.7,1449,8.5,23.0,982,14.3,28.8,0.4,6.8,47725,2.1,0.9,0.0,1.9,2.2,68279,48,007,950102
31.5,56.2,52.7,0.0,3.8,5.7,7.6,10.2,586,40.8,522,27.6,2.7,-666666666,8.0,24.7,6.9,2.7,44680,3.1,2.7,0.0,8.6,2.7,86037,48,007,950103
34.0,53.6,54.7,1.1,2.7,0.0,9.6,9.9,598,63.5,562,0.3,24.4,855,0.0,56.2,16.2,24.6,119624,0.2,2.5,0.0,0.0,0.0,66528,48,007,950200
20.7,39.7,36.1,6.4,6.6,1.5,37.1,0.6,1583,40.6,1361,22.2,26.8,966,28.0,22.9,16.1,6.7,25840,2.7,10.9,0.0,0.6,0.0,40179,48,007,950301
25.8,42.9,37.4,4.2,6.7,3.8,20.3,1.9,1293,53.7,1628,5.7,24.2,1705,0.7,7.4,6.0,7.7,40654,1.5,0.0,0.0,1.2,0.4,87159,48,007,950302
27.0,45.0,48.0,3.5,17.6,0.0,21.2,1.8,1843,50.7,1508,5.5,41.7,1259,13.8,22.6,14.5,3.5,28969,0.6,10.1,0.0,1.3,1.8,42463,48,007,950400
28.3,54.7,44.9,13.2,4.9,15.9,21.7,2.3,1058,48.0,960,24.3,2.7,-666666666,20.4,16.1,33.5,6.2,33410,4.4,0.0,0.0,0.0,0.0,49524,48,007,950501
20.8,40.7,26.1,5.4,2.0,20.1,9.9,0.0,1115,42.5,822,11.1,37.6,874,41.0,19.0,31.7,4.8,33837,2.7,21.0,0.0,0.0,4.4,61125,48,007,950502
20.8,36.3,40.3,10.5,0.0,0.0,16.5,0.0,1183,52.2,1079,23.8,0.0,-666666666,23.2,31.4,11.8,19.4,49505,2.2,2.0,0.0,0.0,0.0,63713,48,007,950503
-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,0,-666666666.0,0,-666666666.0,-666666666.0,-666666666,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666,48,007,990000
25.7,49.2,44.3,3.5,3.6,9.1,16.5,0.8,1119,50.9,1227,8.2,7.1,1694,8.6,6.1,6.3,14.5,47747,0.9,0.9,0.0,0.5,0.3,97450,48,009,020100
15.5,41.2,29.5,8.1,4.8,9.6,19.1,0.4,1055,48.6,987,22.2,17.5,771,11.5,16.2,5.9,4.7,38614,0.0,2.0,0.0,0.0,1.4,60453,48,009,020200
21.0,41.3,37.7,9.0,1.9,13.9,10.6,6.1,1265,47.8,1231,21.1,20.0,617,11.5,13.9,7.4,5.0,33292,6.1,3.2,0.0,1.7,1.3,65903,48,009,020300
26.0,43.0,38.7,2.2,0.9,11.7,14.7,1.8,754,51.7,740,7.4,18.2,1010,8.3,15.1,5.5,2.5,33883,2.6,0.0,0.0,0.5,1.0,68462,48,011,950100
8.3,36.8,31.9,10.3,2.1,17.6,26.9,2.1,1055,50.9,1176,13.7,11.8,-666666666,30.6,15.5,21.9,0.0,26322,8.2,0.8,0.0,2.1,0.0,67244,48,013,960101
15.8,35.6,34.7,12.7,10.1,17.5,26.7,2.9,1566,44.1,1447,23.0,42.2,945,43.8,7.3,12.7,10.0,32118,16.7,10.9,0.0,1.0,0.0,68232,48,013,960102
15.7,34.8,28.3,7.2,3.5,0.0,14.0,4.6,863,54.1,1201,15.4,24.9,1055,28.7,17.1,11.9,3.0,25852,9.2,4.3,0.0,0.0,0.5,56295,48,013,960203
11.6,35.7,20.7,7.8,0.0,0.0,14.6,0.0,1107,46.0,1341,17.2,2.2,-666666666,37.2,19.2,15.1,8.6,33278,14.7,4.9,0.0,0.0,0.0,109464,48,013,960204
9.7,34.0,27.1,17.5,4.5,7.4,16.9,0.2,1769,49.8,2208,19.0,20.7,1005,47.9,16.2,16.2,5.6,25895,15.8,0.0,0.0,0.2,0.2,73651,48,013,960205
13.1,36.2,29.2,12.0,3.2,6.5,20.2,5.7,2144,48.8,2698,37.1,8.9,1277,46.5,6.0,8.3,8.9,28825,18.6,1.8,0.0,2.5,0.0,69151,48,013,960206
17.3,36.1,26.3,5.5,4.0,5.2,14.9,1.6,1006,54.7,1443,24.6,36.1,865,21.4,9.0,14.7,1.8,22777,6.8,12.3,0.0,1.6,0.0,59706,48,013,960300
14.2,35.6,37.8,14.8,5.9,0.2,18.4,1.4,743,53.3,1052,36.9,22.3,791,41.7,7.0,27.3,1.2,20588,14.5,3.9,0.0,1.4,0.0,59609,48,013,960401
24.0,36.2,37.2,9.8,6.9,13.6,18.3,0.4,1583,53.8,1782,20.9,37.8,1116,16.0,13.4,6.9,0.9,28059,5.7,4.0,0.0,0.4,0.0,54147,48,013,960403
